#,Rank FMCK Skövde,Rank Töreboda MK,Rank Tidaholms MK,Rank Falköpings MK,Rank Carlsborgs MK,Rank Tibro MK,Namn,Klubb,Klass,Predicted_Rank,Rank
150.0,70.6,36.4,30.0,22.0,106.2,53.8,Edvin Blad,Oskarshamns MSK,Motion -39,53.166666666666686,50
174.0,13.0,70.6,11.0,11.0,144.4,73.8,Hjalmar Johansson,SMK Eksjö,Ungdom E0,53.966666666666704,51
140.0,70.6,52.0,29.0,22.0,100.8,55.0,Simon Parkkila,Uppsala MK,Motion 16-29,54.90000000000003,52
8.0,123.4,109.8,39.2,44.2,5.0,12.0,Niklas Persson,Karlskoga EK,Senior,55.600000000000016,53
18.0,57.0,43.0,47.0,80.2,42.0,66.0,Håkon Nohr,Borg mc klubb,Junior,55.866666666666696,54
165.0,92.0,42.0,80.0,32.0,50.0,43.0,Rasmus Bengt Olof Malmborg,Björkö EK,Motion -39,56.50000000000003,55
184.0,76.4,26.0,37.0,22.2,107.8,70.0,Staffan Svensson,Helsingborgs MCK,Motion 50-59,56.56666666666669,56
214.0,33.0,115.0,72.0,26.0,69.0,26.0,Mark Edvardsson,Alingsås MCK,Motion 40-49,56.833333333333364,57
141.0,79.0,58.4,82.0,31.2,43.0,48.0,Karim Chanane,FMCK Skövde,Motion -39,56.933333333333366,58
15.0,102.6,10.0,118.2,45.4,9.2,61.4,Andreas Almroth,Borås MK,Motion -39,57.800000000000026,59
114.0,87.0,73.0,68.0,31.0,52.6,39.0,Victor Joensuu,MSK Hammaren,Motion -39,58.433333333333344,60
57.0,69.0,51.0,77.0,33.0,37.0,88.0,Andreas Andersson,Kullings MS,Motion -39,59.16666666666669,61
154.0,53.0,44.8,63.4,48.4,112.4,34.6,Peter Andersson,FMCK Borås,Motion 50-59,59.433333333333366,62
149.0,37.0,95.0,66.0,27.8,91.0,40.0,Daniel Johansson,Töreboda MK,Motion 50-59,59.4666666666667,63
222.0,36.0,72.0,55.0,40.2,121.0,34.4,Christian Kurist,Falköpings MK,Motion 30-39,59.766666666666694,64
11.0,67.0,45.0,71.0,36.0,76.4,64.2,Johan Angerd,Tranemo MK,Motion 40-49,59.933333333333366,65
210.0,70.0,66.0,67.0,40.0,80.0,44.0,Jonathan Lagerqvist,Björkö EK,Motion -39,61.1666666666667,66
1300.0,58.0,64.0,63.0,2.0,76.0,112.0,Liam Qvist,Åbågen MCK,Ungdom E1,62.50000000000003,67
89.0,59.0,75.0,94.0,30.0,41.0,82.0,Karl-Axel Andersson,FMCK Borås,Motion 60-,63.500000000000036,68
1280.0,55.0,108.2,50.0,27.8,45.0,100.0,Tobias Häll,SMK Östgöta,Motion 16-29,64.33333333333337,69
188.0,60.6,65.0,69.0,30.4,111.0,53.0,Erik Wallskog,Töreboda MK,Motion -39,64.83333333333337,70
146.0,51.0,60.0,116.2,48.8,85.4,36.2,Stefan Claesson,Götene MK,Motion 50-59,66.2666666666667,71
169.0,28.2,17.0,84.6,11.0,166.4,92.4,Anders Burström,Westerviks MSK,Motion 50-59,66.60000000000004,72
15.0,50.2,99.0,92.4,50.4,102.0,8.0,Christina Flinge Björsner,SMK Motala MC-Klubb,Motion Dam,67.00000000000003,73
85.0,89.8,40.0,84.4,44.6,29.0,121.0,Jonathan Petersson,SMK Trollhättan,Motion -39,68.13333333333337,74
12.0,17.0,34.0,120.4,84.8,35.6,117.6,Katja Bengtsson,Falköpings MK,Motion Dam,68.23333333333338,75
144.0,11.0,110.0,58.0,43.6,110.6,77.6,Hugo Andersson,Tibro MK,Junior,68.46666666666671,76
202.0,63.0,93.0,80.6,42.8,83.0,48.8,Niklas Kedén,Hjo MK,Motion -39,68.53333333333336,77
944.0,39.0,83.0,51.0,103.4,63.0,73.0,Pontus Lüppert,MK Team Treske,Bredd,68.73333333333338,78
539.0,73.0,16.0,21.0,250.2,18.0,36.0,Fabian Bandling,Vimmerby MS,Junior,69.03333333333336,79
131.0,28.8,47.6,169.2,42.2,106.4,30.0,Tony Johnsson,FMCK Borås,Motion 60-,70.70000000000003,80
1284.0,112.0,49.0,73.0,34.0,47.0,111.0,Tuva Sahlin Palmstedt,Lidköpings MCK,Ungdom E1,71.00000000000003,81
183.0,167.0,77.8,54.0,31.8,51.0,45.0,Andreas Sjöberg,Tibro MK,Motion 40-49,71.1,82
519.0,48.0,28.0,42.0,253.4,25.0,33.0,Jörgen Rutgersson,Stenungsunds MS,Motion 50-59,71.5666666666667,83
518.0,40.0,48.0,14.0,236.2,53.0,47.0,André Blohmé,FMCK Hässleholm,Junior,73.03333333333336,84
122.0,84.4,98.0,107.0,56.8,53.6,39.6,Wiggo Lifvendahl,MK Orion,Ungdom E0,73.23333333333338,85
1203.0,104.0,44.0,83.0,44.0,60.0,107.0,Michael Danielsson,MK Team Treske,Motion 30-39,73.66666666666669,86
190.0,78.0,87.0,132.4,32.2,73.0,42.0,Petter Hedlund,Hallsbergs MK,Motion -39,74.10000000000002,87
1255.0,108.0,56.0,65.0,63.0,62.0,93.0,Jan-Eric Höög,Skene MS,Motion 50-59,74.50000000000003,88
162.0,88.0,69.0,93.0,44.0,77.0,79.0,Hugo Hellström,Norrahammars MK,Ungdom E1,75.00000000000003,89
6.0,84.0,52.0,106.0,65.0,66.4,78.8,Mattias Göransson,Försvarsmaktens EK,Motion -39,75.3666666666667,90
970.0,125.8,67.0,70.0,57.0,66.0,67.8,Gösta Sundborg,Battle of Vikings Sportförening,Motion 30-39,75.60000000000002,91
208.0,145.8,116.2,52.0,42.8,67.6,37.6,Ronnie Femerström,SMK Kolmården,Motion 50-59,77.00000000000001,92
552.0,68.0,32.0,38.0,237.4,36.0,52.0,Anders Billestedt Andersson,Stenungsunds MS,Motion 40-49,77.23333333333336,93
39.0,8.0,103.6,168.8,66.0,63.6,53.6,Fredrik Eisner,Alingsås MCK,Motion 50-59,77.26666666666671,94
