Brand,Count_total,Count_dnf,Percentage_DNF
KTM,939,5,0.5324813631522897
Husqvarna,497,1,0.2012072434607646
Sherco,222,2,0.9009009009009009
Beta,153,1,0.6535947712418301
Honda,79,1,1.2658227848101267
