Brand,Count_total,Count_dnf,Percentage_DNF
KTM,922,109,11.822125813449023
Husqvarna,461,57,12.364425162689804
Sherco,214,20,9.345794392523365
Yamaha,156,17,10.897435897435898
GasGas,138,16,11.594202898550725
Beta,129,21,16.27906976744186
Honda,79,10,12.658227848101266
Kawasaki,31,4,12.903225806451612
Suzuki,19,1,5.263157894736842
Husaberg,11,2,18.181818181818183
Aprilia,1,1,100.0
