Plats,År,Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4,Varv 5,Varv 6,Varv 7,Varv 8,Varv 9,Varv 10,Varv 11,Varv 1_Datetime,Varv 2_Datetime,Varv 3_Datetime,Varv 4_Datetime,Varv 5_Datetime,Varv 6_Datetime,Varv 7_Datetime,Varv 8_Datetime,Varv 9_Datetime,Varv 10_Datetime,Varv 11_Datetime
Töreboda MK,2023.0,54.0,Motion -39,574.0,Andreas Nordström,Eds-Skottbacka MX Förening,4.0,12:22.3,17:46.6,17:50.7,18:03.4,18:41.4,,,,,,,,1900-01-01 00:17:46.600,1900-01-01 00:17:50.700,1900-01-01 00:18:03.400,1900-01-01 00:18:41.400,,,,,,,
Töreboda MK,2023.0,55.0,Motion 40-49,957.0,Markus Andersson,MK Team Treske,4.0,12:24.4,17:25.3,18:08.8,18:31.5,18:18.7,,,,,,,,1900-01-01 00:17:25.300,1900-01-01 00:18:08.800,1900-01-01 00:18:31.500,1900-01-01 00:18:18.700,,,,,,,
Töreboda MK,2023.0,56.0,Motion -39,580.0,Albin Pettersson,Kristdala Motorsällskap,4.0,12:27.3,17:21.9,18:14.5,18:19.4,18:31.3,,,,,,,,1900-01-01 00:17:21.900,1900-01-01 00:18:14.500,1900-01-01 00:18:19.400,1900-01-01 00:18:31.300,,,,,,,
Töreboda MK,2023.0,57.0,Motion 40-49,911.0,Ronny Eskengren,Älvbygdens MK,4.0,12:29.1,17:29.0,18:03.7,18:25.9,18:30.3,,,,,,,,1900-01-01 00:17:29.000,1900-01-01 00:18:03.700,1900-01-01 00:18:25.900,1900-01-01 00:18:30.300,,,,,,,
Töreboda MK,2023.0,58.0,Motion -39,593.0,Patrik Johansson,Tibro MK,4.0,12:35.7,18:20.5,17:57.5,18:09.9,18:07.7,,,,,,,,1900-01-01 00:18:20.500,1900-01-01 00:17:57.500,1900-01-01 00:18:09.900,1900-01-01 00:18:07.700,,,,,,,
Töreboda MK,2023.0,59.0,Motion -39,566.0,Henrik Madsen,Huskvarna MK,4.0,12:36.9,17:36.1,17:49.7,18:23.7,18:47.3,,,,,,,,1900-01-01 00:17:36.100,1900-01-01 00:17:49.700,1900-01-01 00:18:23.700,1900-01-01 00:18:47.300,,,,,,,
Töreboda MK,2023.0,60.0,Motion -39,591.0,Thim Svensson,Vissefjärda EK,4.0,12:44.3,17:58.8,17:32.7,18:21.5,18:51.2,,,,,,,,1900-01-01 00:17:58.800,1900-01-01 00:17:32.700,1900-01-01 00:18:21.500,1900-01-01 00:18:51.200,,,,,,,
Töreboda MK,2023.0,61.0,Motion 40-49,908.0,Martin Börjesson,FMCK Borås,4.0,13:00.0,17:20.5,18:10.3,18:44.0,18:45.1,,,,,,,,1900-01-01 00:17:20.500,1900-01-01 00:18:10.300,1900-01-01 00:18:44.000,1900-01-01 00:18:45.100,,,,,,,
Töreboda MK,2023.0,62.0,Motion -39,799.0,Patrik Förkrök Ledström,SMK Vadstena,4.0,13:02.6,17:48.5,17:59.4,18:32.8,18:41.7,,,,,,,,1900-01-01 00:17:48.500,1900-01-01 00:17:59.400,1900-01-01 00:18:32.800,1900-01-01 00:18:41.700,,,,,,,
Töreboda MK,2023.0,63.0,Motion 40-49,997.0,Robert Strandberg,Hjo MK,4.0,13:04.0,17:33.4,18:05.9,18:19.9,19:04.7,,,,,,,,1900-01-01 00:17:33.400,1900-01-01 00:18:05.900,1900-01-01 00:18:19.900,1900-01-01 00:19:04.700,,,,,,,
Töreboda MK,2023.0,64.0,Ungdom E1,194.0,Edwin Djurstedt,Djursdala SK,4.0,13:06.5,17:21.9,18:05.7,18:57.9,18:40.9,,,,,,,,1900-01-01 00:17:21.900,1900-01-01 00:18:05.700,1900-01-01 00:18:57.900,1900-01-01 00:18:40.900,,,,,,,
Töreboda MK,2023.0,65.0,Motion -39,509.0,Jonathan Storm,Kortedala MK,4.0,13:17.4,17:54.4,18:22.8,18:41.3,18:18.8,,,,,,,,1900-01-01 00:17:54.400,1900-01-01 00:18:22.800,1900-01-01 00:18:41.300,1900-01-01 00:18:18.800,,,,,,,
