Plats,År,Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4,Varv 5,Varv 6,Varv 7,Varv 8,Varv 9,Varv 10,Varv 11,Varv 1_Datetime,Varv 2_Datetime,Varv 3_Datetime,Varv 4_Datetime,Varv 5_Datetime,Varv 6_Datetime,Varv 7_Datetime,Varv 8_Datetime,Varv 9_Datetime,Varv 10_Datetime,Varv 11_Datetime
FMK Skövde,2023.0,1.0,Motion 40-49,1111.0,Magnus Edberg,Huskvarna MK,4.0,53:05.5,14:08.2,14:17.5,11:47.5,12:52.1,,,,,,,,1900-01-01 00:14:08.200,1900-01-01 00:14:17.500,1900-01-01 00:11:47.500,1900-01-01 00:12:52.100,,,,,,,
FMK Skövde,2023.0,2.0,Motion -39,518.0,Alexander Fält,Försvarsmaktens EK,4.0,53:45.2,14:38.8,14:31.4,12:13.6,12:21.2,,,,,,,,1900-01-01 00:14:38.800,1900-01-01 00:14:31.400,1900-01-01 00:12:13.600,1900-01-01 00:12:21.200,,,,,,,
FMK Skövde,2023.0,3.0,Motion -39,577.0,Måns Dalén,FMCK Skövde,4.0,53:51.5,14:20.4,14:53.3,12:03.4,12:34.3,,,,,,,,1900-01-01 00:14:20.400,1900-01-01 00:14:53.300,1900-01-01 00:12:03.400,1900-01-01 00:12:34.300,,,,,,,
FMK Skövde,2023.0,4.0,Ungdom E1,175.0,William Almén,SMK Värnamo,4.0,54:06.2,14:26.6,14:50.0,12:07.0,12:42.5,,,,,,,,1900-01-01 00:14:26.600,1900-01-01 00:14:50.000,1900-01-01 00:12:07.000,1900-01-01 00:12:42.500,,,,,,,
FMK Skövde,2023.0,5.0,Motion 40-49,944.0,Niklas Strömberg,Götene MK,4.0,54:13.8,14:40.2,15:07.9,11:56.7,12:28.9,,,,,,,,1900-01-01 00:14:40.200,1900-01-01 00:15:07.900,1900-01-01 00:11:56.700,1900-01-01 00:12:28.900,,,,,,,
FMK Skövde,2023.0,6.0,Motion 40-49,931.0,Mårten Gustavsson,Försvarsmaktens EK,4.0,55:21.3,15:14.0,15:17.4,11:59.5,12:50.3,,,,,,,,1900-01-01 00:15:14.000,1900-01-01 00:15:17.400,1900-01-01 00:11:59.500,1900-01-01 00:12:50.300,,,,,,,
FMK Skövde,2023.0,7.0,Motion -39,519.0,Erik Larsson,Tibro MK,4.0,55:38.1,15:39.1,15:09.3,12:19.7,12:29.9,,,,,,,,1900-01-01 00:15:39.100,1900-01-01 00:15:09.300,1900-01-01 00:12:19.700,1900-01-01 00:12:29.900,,,,,,,
FMK Skövde,2023.0,8.0,Ungdom E1,100.0,Hugo Andersson,Tibro MK,4.0,55:49.5,14:43.9,16:13.7,12:25.1,12:26.6,,,,,,,,1900-01-01 00:14:43.900,1900-01-01 00:16:13.700,1900-01-01 00:12:25.100,1900-01-01 00:12:26.600,,,,,,,
FMK Skövde,2023.0,9.0,Motion -39,620.0,Hampus Östensson,Hallsbergs MK,4.0,56:04.4,15:37.8,15:43.3,12:14.7,12:28.4,,,,,,,,1900-01-01 00:15:37.800,1900-01-01 00:15:43.300,1900-01-01 00:12:14.700,1900-01-01 00:12:28.400,,,,,,,
FMK Skövde,2023.0,10.0,Motion 40-49,949.0,Benny Andersson,Norrahammars MK,4.0,56:08.1,15:01.3,15:00.1,13:01.1,13:05.4,,,,,,,,1900-01-01 00:15:01.300,1900-01-01 00:15:00.100,1900-01-01 00:13:01.100,1900-01-01 00:13:05.400,,,,,,,
FMK Skövde,2023.0,11.0,Motion -39,539.0,Niklas Mörk,Laxå MK,4.0,56:49.4,15:34.2,15:20.1,12:33.2,13:21.7,,,,,,,,1900-01-01 00:15:34.200,1900-01-01 00:15:20.100,1900-01-01 00:12:33.200,1900-01-01 00:13:21.700,,,,,,,
FMK Skövde,2023.0,12.0,Motion -39,513.0,Joacim Wigertson,Kullings MS,4.0,57:03.1,15:20.2,15:11.2,12:58.9,13:32.7,,,,,,,,1900-01-01 00:15:20.200,1900-01-01 00:15:11.200,1900-01-01 00:12:58.900,1900-01-01 00:13:32.700,,,,,,,
FMK Skövde,2023.0,13.0,Ungdom E1,104.0,Theodor Popp,SMK Värnamo,4.0,57:04.7,16:23.5,15:50.6,12:23.3,12:27.1,,,,,,,,1900-01-01 00:16:23.500,1900-01-01 00:15:50.600,1900-01-01 00:12:23.300,1900-01-01 00:12:27.100,,,,,,,
FMK Skövde,2023.0,14.0,Motion -39,552.0,Jakob Johansson,Tidaholms MK,4.0,57:37.5,15:03.4,16:59.5,12:29.5,13:05.0,,,,,,,,1900-01-01 00:15:03.400,1900-01-01 00:16:59.500,1900-01-01 00:12:29.500,1900-01-01 00:13:05.000,,,,,,,
FMK Skövde,2023.0,15.0,Motion 40-49,929.0,Rickard Bengtsson,Falköpings MK,4.0,57:47.6,16:02.5,15:00.4,13:08.5,13:36.0,,,,,,,,1900-01-01 00:16:02.500,1900-01-01 00:15:00.400,1900-01-01 00:13:08.500,1900-01-01 00:13:36.000,,,,,,,
FMK Skövde,2023.0,16.0,Motion -39,794.0,Joel Kvist,Försvarsmaktens EK,4.0,58:06.3,15:32.3,16:01.1,13:03.0,13:29.7,,,,,,,,1900-01-01 00:15:32.300,1900-01-01 00:16:01.100,1900-01-01 00:13:03.000,1900-01-01 00:13:29.700,,,,,,,
FMK Skövde,2023.0,17.0,Motion 40-49,923.0,Stefan Liljedahl,Tibro MK,4.0,58:16.5,15:02.6,15:32.9,13:07.4,14:33.3,,,,,,,,1900-01-01 00:15:02.600,1900-01-01 00:15:32.900,1900-01-01 00:13:07.400,1900-01-01 00:14:33.300,,,,,,,
FMK Skövde,2023.0,18.0,Ungdom E1,141.0,William Brehag Von Haugwitz,Carlsborgs MK,4.0,58:23.7,16:40.9,15:28.3,13:11.5,13:02.8,,,,,,,,1900-01-01 00:16:40.900,1900-01-01 00:15:28.300,1900-01-01 00:13:11.500,1900-01-01 00:13:02.800,,,,,,,
FMK Skövde,2023.0,19.0,Motion 40-49,959.0,Charlie Turesson,FMCK Hässleholm,4.0,58:25.6,16:46.0,14:48.1,13:09.0,13:42.4,,,,,,,,1900-01-01 00:16:46.000,1900-01-01 00:14:48.100,1900-01-01 00:13:09.000,1900-01-01 00:13:42.400,,,,,,,
FMK Skövde,2023.0,20.0,Motion 40-49,994.0,Mikael Bengtsson,Falköpings MK,4.0,58:39.9,16:49.2,15:02.7,13:43.5,13:04.3,,,,,,,,1900-01-01 00:16:49.200,1900-01-01 00:15:02.700,1900-01-01 00:13:43.500,1900-01-01 00:13:04.300,,,,,,,
FMK Skövde,2023.0,21.0,Motion -39,507.0,Man - Alfred Ivarsson,Älvbygdens MK,4.0,58:41.2,16:32.7,15:27.2,13:06.6,13:34.5,,,,,,,,1900-01-01 00:16:32.700,1900-01-01 00:15:27.200,1900-01-01 00:13:06.600,1900-01-01 00:13:34.500,,,,,,,
FMK Skövde,2023.0,22.0,Ungdom E1,162.0,Axel Plogner,Karlstad MX Klubb,4.0,58:45.3,16:23.5,15:51.7,13:07.3,13:22.6,,,,,,,,1900-01-01 00:16:23.500,1900-01-01 00:15:51.700,1900-01-01 00:13:07.300,1900-01-01 00:13:22.600,,,,,,,
FMK Skövde,2023.0,23.0,Motion 40-49,997.0,Robert Strandberg,Hjo MK,4.0,59:12.1,16:49.0,15:44.0,13:07.8,13:31.2,,,,,,,,1900-01-01 00:16:49.000,1900-01-01 00:15:44.000,1900-01-01 00:13:07.800,1900-01-01 00:13:31.200,,,,,,,
FMK Skövde,2023.0,24.0,Motion -39,536.0,Andreas Mörk,Laxå MK,4.0,59:13.1,15:19.6,16:47.8,13:28.1,13:37.5,,,,,,,,1900-01-01 00:15:19.600,1900-01-01 00:16:47.800,1900-01-01 00:13:28.100,1900-01-01 00:13:37.500,,,,,,,
FMK Skövde,2023.0,25.0,Ungdom E1,151.0,Liam Nilsson,FMCK Skövde,4.0,59:19.8,16:07.2,15:58.2,13:59.9,13:14.3,,,,,,,,1900-01-01 00:16:07.200,1900-01-01 00:15:58.200,1900-01-01 00:13:59.900,1900-01-01 00:13:14.300,,,,,,,
FMK Skövde,2023.0,26.0,Ungdom E1,101.0,Sixten Larsson,FMCK Borås,4.0,59:34.2,16:39.8,14:59.6,13:50.0,14:04.6,,,,,,,,1900-01-01 00:16:39.800,1900-01-01 00:14:59.600,1900-01-01 00:13:50.000,1900-01-01 00:14:04.600,,,,,,,
FMK Skövde,2023.0,27.0,Motion -39,551.0,Melker Svantesson,Kullings MS,4.0,59:56.0,16:05.8,15:30.1,14:27.4,13:52.6,,,,,,,,1900-01-01 00:16:05.800,1900-01-01 00:15:30.100,1900-01-01 00:14:27.400,1900-01-01 00:13:52.600,,,,,,,
FMK Skövde,2023.0,28.0,Motion -39,524.0,Marcus Hjelm,Falköpings MK,4.0,59:58.8,17:03.1,15:52.0,13:30.4,13:33.3,,,,,,,,1900-01-01 00:17:03.100,1900-01-01 00:15:52.000,1900-01-01 00:13:30.400,1900-01-01 00:13:33.300,,,,,,,
FMK Skövde,2023.0,29.0,Motion -39,514.0,Daniel Hellstadius,Kullings MS,4.0,00:02.9,17:25.2,15:21.3,13:43.4,13:32.9,,,,,,,,1900-01-01 00:17:25.200,1900-01-01 00:15:21.300,1900-01-01 00:13:43.400,1900-01-01 00:13:32.900,,,,,,,
FMK Skövde,2023.0,30.0,Motion 40-49,908.0,Martin Börjesson,FMCK Borås,4.0,00:08.3,16:23.4,15:58.1,13:44.4,14:02.3,,,,,,,,1900-01-01 00:16:23.400,1900-01-01 00:15:58.100,1900-01-01 00:13:44.400,1900-01-01 00:14:02.300,,,,,,,
FMK Skövde,2023.0,31.0,Ungdom E1,193.0,Emil Wänndahl,Huskvarna MK,4.0,00:16.1,15:43.7,17:10.5,13:44.4,13:37.3,,,,,,,,1900-01-01 00:15:43.700,1900-01-01 00:17:10.500,1900-01-01 00:13:44.400,1900-01-01 00:13:37.300,,,,,,,
FMK Skövde,2023.0,32.0,Motion -39,530.0,Patrik Olsson,Lilla Edets MCK,4.0,00:24.6,17:35.4,15:19.2,13:30.8,13:59.1,,,,,,,,1900-01-01 00:17:35.400,1900-01-01 00:15:19.200,1900-01-01 00:13:30.800,1900-01-01 00:13:59.100,,,,,,,
FMK Skövde,2023.0,33.0,Motion -39,580.0,Albin Pettersson,Kristdala MS,4.0,00:28.3,16:33.8,15:32.9,13:52.5,14:29.0,,,,,,,,1900-01-01 00:16:33.800,1900-01-01 00:15:32.900,1900-01-01 00:13:52.500,1900-01-01 00:14:29.000,,,,,,,
FMK Skövde,2023.0,34.0,Ungdom E1,165.0,Hugo Hellström,Norrahammars MK,4.0,00:44.8,17:06.6,17:03.3,13:25.2,13:09.6,,,,,,,,1900-01-01 00:17:06.600,1900-01-01 00:17:03.300,1900-01-01 00:13:25.200,1900-01-01 00:13:09.600,,,,,,,
FMK Skövde,2023.0,35.0,Motion -39,527.0,George Svantesson,Kullings MS,4.0,00:46.9,16:21.3,16:26.0,14:06.2,13:53.3,,,,,,,,1900-01-01 00:16:21.300,1900-01-01 00:16:26.000,1900-01-01 00:14:06.200,1900-01-01 00:13:53.300,,,,,,,
FMK Skövde,2023.0,36.0,Motion -39,512.0,Eric Lindblad,Hjo MK,4.0,00:56.0,17:06.1,16:21.4,14:00.1,13:28.3,,,,,,,,1900-01-01 00:17:06.100,1900-01-01 00:16:21.400,1900-01-01 00:14:00.100,1900-01-01 00:13:28.300,,,,,,,
FMK Skövde,2023.0,37.0,Motion 40-49,986.0,Rikard Skerget,Stenungsunds MS,4.0,01:03.3,16:59.2,15:39.9,14:22.1,14:02.0,,,,,,,,1900-01-01 00:16:59.200,1900-01-01 00:15:39.900,1900-01-01 00:14:22.100,1900-01-01 00:14:02.000,,,,,,,
FMK Skövde,2023.0,38.0,Motion -39,501.0,Linus Kjellström,Götene MK,4.0,01:41.2,16:47.8,16:09.2,14:14.5,14:29.6,,,,,,,,1900-01-01 00:16:47.800,1900-01-01 00:16:09.200,1900-01-01 00:14:14.500,1900-01-01 00:14:29.600,,,,,,,
FMK Skövde,2023.0,39.0,Motion 40-49,900.0,Hans Torsborn,Ulricehamns MK,4.0,01:46.9,17:15.4,16:45.0,13:31.3,14:15.1,,,,,,,,1900-01-01 00:17:15.400,1900-01-01 00:16:45.000,1900-01-01 00:13:31.300,1900-01-01 00:14:15.100,,,,,,,
FMK Skövde,2023.0,40.0,Motion 40-49,961.0,Daniel Lundqvist,Töreboda MK,4.0,01:48.8,17:07.5,16:10.4,14:01.5,14:29.3,,,,,,,,1900-01-01 00:17:07.500,1900-01-01 00:16:10.400,1900-01-01 00:14:01.500,1900-01-01 00:14:29.300,,,,,,,
FMK Skövde,2023.0,41.0,Motion -39,650.0,Olle Samuelsson,Vimmerby MS,4.0,01:53.2,17:15.8,16:38.4,13:44.7,14:14.2,,,,,,,,1900-01-01 00:17:15.800,1900-01-01 00:16:38.400,1900-01-01 00:13:44.700,1900-01-01 00:14:14.200,,,,,,,
FMK Skövde,2023.0,42.0,Ungdom E1,105.0,Alfred Gustavsson,Mariestads EK,4.0,01:58.0,18:21.1,15:32.8,13:21.8,14:42.2,,,,,,,,1900-01-01 00:18:21.100,1900-01-01 00:15:32.800,1900-01-01 00:13:21.800,1900-01-01 00:14:42.200,,,,,,,
FMK Skövde,2023.0,43.0,Motion 40-49,996.0,Filip Starck,Norrahammars MK,4.0,01:58.2,16:53.0,15:45.3,14:16.8,15:02.9,,,,,,,,1900-01-01 00:16:53.000,1900-01-01 00:15:45.300,1900-01-01 00:14:16.800,1900-01-01 00:15:02.900,,,,,,,
FMK Skövde,2023.0,44.0,Motion 40-49,934.0,Fredrik Hassesjö,Ulricehamns MK,4.0,02:02.3,16:23.2,16:07.3,14:33.7,14:57.9,,,,,,,,1900-01-01 00:16:23.200,1900-01-01 00:16:07.300,1900-01-01 00:14:33.700,1900-01-01 00:14:57.900,,,,,,,
FMK Skövde,2023.0,45.0,Motion 40-49,989.0,Fredrik Sääv,Götene MK,4.0,02:12.4,17:18.5,18:11.2,13:05.9,13:36.7,,,,,,,,1900-01-01 00:17:18.500,1900-01-01 00:18:11.200,1900-01-01 00:13:05.900,1900-01-01 00:13:36.700,,,,,,,
FMK Skövde,2023.0,46.0,Motion -39,500.0,Tommy Oldenburg,FMCK Skövde,4.0,02:16.3,17:43.6,15:50.8,14:05.7,14:35.9,,,,,,,,1900-01-01 00:17:43.600,1900-01-01 00:15:50.800,1900-01-01 00:14:05.700,1900-01-01 00:14:35.900,,,,,,,
FMK Skövde,2023.0,47.0,Motion -39,537.0,Emil Meijer,Götene MK,4.0,02:18.1,16:53.7,16:24.2,14:07.3,14:52.8,,,,,,,,1900-01-01 00:16:53.700,1900-01-01 00:16:24.200,1900-01-01 00:14:07.300,1900-01-01 00:14:52.800,,,,,,,
FMK Skövde,2023.0,48.0,Ungdom E1,102.0,Liam Qvist,Åbågen MCK,4.0,02:18.7,17:58.2,16:30.6,13:53.5,13:56.3,,,,,,,,1900-01-01 00:17:58.200,1900-01-01 00:16:30.600,1900-01-01 00:13:53.500,1900-01-01 00:13:56.300,,,,,,,
FMK Skövde,2023.0,49.0,Motion 40-49,952.0,Christian Johansson,Tidaholms MK,4.0,02:28.6,17:00.4,16:23.9,14:30.1,14:34.1,,,,,,,,1900-01-01 00:17:00.400,1900-01-01 00:16:23.900,1900-01-01 00:14:30.100,1900-01-01 00:14:34.100,,,,,,,
FMK Skövde,2023.0,50.0,Motion -39,542.0,Bernard Abrahamsson,FMCK BohusDal,4.0,02:33.9,17:54.3,16:14.9,14:07.2,14:17.3,,,,,,,,1900-01-01 00:17:54.300,1900-01-01 00:16:14.900,1900-01-01 00:14:07.200,1900-01-01 00:14:17.300,,,,,,,
FMK Skövde,2023.0,51.0,Motion -39,509.0,Jonathan Storm,Kortedala MK,4.0,02:42.0,18:18.7,16:23.6,14:06.8,13:52.8,,,,,,,,1900-01-01 00:18:18.700,1900-01-01 00:16:23.600,1900-01-01 00:14:06.800,1900-01-01 00:13:52.800,,,,,,,
FMK Skövde,2023.0,52.0,Motion -39,695.0,Dennis Eriksson,SMK Ronneby,4.0,02:43.2,17:34.9,16:16.3,14:22.4,14:29.5,,,,,,,,1900-01-01 00:17:34.900,1900-01-01 00:16:16.300,1900-01-01 00:14:22.400,1900-01-01 00:14:29.500,,,,,,,
FMK Skövde,2023.0,53.0,Motion -39,566.0,Man - Henrik Madsen,Huskvarna MK,4.0,02:57.2,17:13.8,16:45.8,14:12.6,14:44.9,,,,,,,,1900-01-01 00:17:13.800,1900-01-01 00:16:45.800,1900-01-01 00:14:12.600,1900-01-01 00:14:44.900,,,,,,,
FMK Skövde,2023.0,54.0,Motion -39,533.0,Jimmy Josefsson,Skene MS,4.0,03:07.7,18:49.2,16:15.8,14:04.1,13:58.4,,,,,,,,1900-01-01 00:18:49.200,1900-01-01 00:16:15.800,1900-01-01 00:14:04.100,1900-01-01 00:13:58.400,,,,,,,
FMK Skövde,2023.0,55.0,Motion 40-49,903.0,Björn Bäckström,MK Ran,4.0,03:14.1,17:36.4,17:11.6,13:43.3,14:42.6,,,,,,,,1900-01-01 00:17:36.400,1900-01-01 00:17:11.600,1900-01-01 00:13:43.300,1900-01-01 00:14:42.600,,,,,,,
FMK Skövde,2023.0,56.0,Motion 40-49,939.0,Sam Hämäläinen,Tibro MK,4.0,03:16.3,16:42.3,17:13.1,14:37.4,14:43.3,,,,,,,,1900-01-01 00:16:42.300,1900-01-01 00:17:13.100,1900-01-01 00:14:37.400,1900-01-01 00:14:43.300,,,,,,,
FMK Skövde,2023.0,57.0,Motion 40-49,941.0,Lars-Olof Lindström,FMCK Borås,4.0,03:36.4,17:24.2,16:17.7,14:27.5,15:26.9,,,,,,,,1900-01-01 00:17:24.200,1900-01-01 00:16:17.700,1900-01-01 00:14:27.500,1900-01-01 00:15:26.900,,,,,,,
FMK Skövde,2023.0,58.0,Motion 40-49,976.0,Joakim Ericsson,Töreboda MK,4.0,03:41.7,17:38.1,17:35.1,14:01.5,14:26.8,,,,,,,,1900-01-01 00:17:38.100,1900-01-01 00:17:35.100,1900-01-01 00:14:01.500,1900-01-01 00:14:26.800,,,,,,,
FMK Skövde,2023.0,59.0,Motion -39,559.0,Jesper Herngren,Falköpings MK,4.0,03:48.6,17:30.6,16:38.3,14:23.5,15:16.1,,,,,,,,1900-01-01 00:17:30.600,1900-01-01 00:16:38.300,1900-01-01 00:14:23.500,1900-01-01 00:15:16.100,,,,,,,
FMK Skövde,2023.0,60.0,Motion -39,613.0,Erik Isaksson,Tranås MS,4.0,04:03.6,18:17.2,16:12.6,15:04.5,14:29.2,,,,,,,,1900-01-01 00:18:17.200,1900-01-01 00:16:12.600,1900-01-01 00:15:04.500,1900-01-01 00:14:29.200,,,,,,,
FMK Skövde,2023.0,61.0,Motion 40-49,943.0,Anton Gustavsson,Mariestads EK,4.0,04:05.7,17:41.0,16:36.3,15:15.3,14:32.8,,,,,,,,1900-01-01 00:17:41.000,1900-01-01 00:16:36.300,1900-01-01 00:15:15.300,1900-01-01 00:14:32.800,,,,,,,
FMK Skövde,2023.0,62.0,Ungdom E1,183.0,Mille Söderblom,Hallsbergs MK,4.0,04:08.2,18:42.7,16:27.2,15:51.3,13:06.8,,,,,,,,1900-01-01 00:18:42.700,1900-01-01 00:16:27.200,1900-01-01 00:15:51.300,1900-01-01 00:13:06.800,,,,,,,
FMK Skövde,2023.0,63.0,Motion -39,591.0,Thim Svensson,Vissefjärda EK,4.0,04:09.2,18:48.1,16:09.0,14:37.6,14:34.4,,,,,,,,1900-01-01 00:18:48.100,1900-01-01 00:16:09.000,1900-01-01 00:14:37.600,1900-01-01 00:14:34.400,,,,,,,
FMK Skövde,2023.0,64.0,Motion 40-49,907.0,Jonas Milefors,Kortedala MK,4.0,04:13.3,18:08.8,16:13.8,14:36.5,15:14.1,,,,,,,,1900-01-01 00:18:08.800,1900-01-01 00:16:13.800,1900-01-01 00:14:36.500,1900-01-01 00:15:14.100,,,,,,,
FMK Skövde,2023.0,65.0,Motion 40-49,904.0,Henrik Lindström,FMCK Borås,4.0,04:16.6,17:36.7,17:38.3,14:25.2,14:36.1,,,,,,,,1900-01-01 00:17:36.700,1900-01-01 00:17:38.300,1900-01-01 00:14:25.200,1900-01-01 00:14:36.100,,,,,,,
FMK Skövde,2023.0,66.0,Motion 40-49,917.0,Tomas Blom,Hallsbergs MK,4.0,04:16.9,17:54.6,16:14.5,14:27.0,15:40.7,,,,,,,,1900-01-01 00:17:54.600,1900-01-01 00:16:14.500,1900-01-01 00:14:27.000,1900-01-01 00:15:40.700,,,,,,,
FMK Skövde,2023.0,67.0,Motion -39,528.0,Hugo Lindström,FMCK Borås,4.0,04:21.8,17:29.2,17:32.0,15:14.7,14:05.7,,,,,,,,1900-01-01 00:17:29.200,1900-01-01 00:17:32.000,1900-01-01 00:15:14.700,1900-01-01 00:14:05.700,,,,,,,
FMK Skövde,2023.0,68.0,Motion -39,569.0,Christoffer Jonasson,SMC,4.0,04:30.4,18:17.0,16:20.9,15:23.0,14:29.3,,,,,,,,1900-01-01 00:18:17.000,1900-01-01 00:16:20.900,1900-01-01 00:15:23.000,1900-01-01 00:14:29.300,,,,,,,
FMK Skövde,2023.0,69.0,Motion 40-49,947.0,Magnus Enander,Ulricehamns MK,4.0,04:37.3,17:55.9,16:44.1,14:53.5,15:03.6,,,,,,,,1900-01-01 00:17:55.900,1900-01-01 00:16:44.100,1900-01-01 00:14:53.500,1900-01-01 00:15:03.600,,,,,,,
FMK Skövde,2023.0,70.0,Motion 40-49,910.0,Per Eriksson,Hallsbergs MK,4.0,04:40.4,18:05.6,16:26.1,14:26.7,15:41.7,,,,,,,,1900-01-01 00:18:05.600,1900-01-01 00:16:26.100,1900-01-01 00:14:26.700,1900-01-01 00:15:41.700,,,,,,,
FMK Skövde,2023.0,71.0,Motion -39,562.0,Johan Hedström,Kinds MK,4.0,04:41.6,18:00.4,16:34.4,14:56.8,15:09.9,,,,,,,,1900-01-01 00:18:00.400,1900-01-01 00:16:34.400,1900-01-01 00:14:56.800,1900-01-01 00:15:09.900,,,,,,,
FMK Skövde,2023.0,72.0,Motion -39,588.0,Andreas Andersson,Kullings MS,4.0,04:43.8,17:24.1,16:59.1,15:01.1,15:19.4,,,,,,,,1900-01-01 00:17:24.100,1900-01-01 00:16:59.100,1900-01-01 00:15:01.100,1900-01-01 00:15:19.400,,,,,,,
FMK Skövde,2023.0,73.0,Motion 40-49,981.0,Patrick Wik,Skene MS,4.0,04:48.2,18:32.4,16:24.5,14:44.0,15:07.1,,,,,,,,1900-01-01 00:18:32.400,1900-01-01 00:16:24.500,1900-01-01 00:14:44.000,1900-01-01 00:15:07.100,,,,,,,
FMK Skövde,2023.0,74.0,Motion -39,556.0,Tommy Gustafsson,Huskvarna MK,4.0,04:48.7,18:58.0,16:11.9,15:05.6,14:33.1,,,,,,,,1900-01-01 00:18:58.000,1900-01-01 00:16:11.900,1900-01-01 00:15:05.600,1900-01-01 00:14:33.100,,,,,,,
FMK Skövde,2023.0,75.0,Motion 40-49,990.0,Johan Kjellson,FMCK Skövde,4.0,05:00.9,18:33.8,16:23.0,14:55.1,15:08.8,,,,,,,,1900-01-01 00:18:33.800,1900-01-01 00:16:23.000,1900-01-01 00:14:55.100,1900-01-01 00:15:08.800,,,,,,,
FMK Skövde,2023.0,76.0,Motion -39,516.0,Dennis Ring,FMCK Borås,4.0,05:13.0,18:17.0,16:27.2,14:20.5,16:08.1,,,,,,,,1900-01-01 00:18:17.000,1900-01-01 00:16:27.200,1900-01-01 00:14:20.500,1900-01-01 00:16:08.100,,,,,,,
FMK Skövde,2023.0,77.0,Motion -39,555.0,Dennis Hörberg,Norrahammars MK,4.0,05:15.8,18:49.8,16:31.1,14:33.8,15:20.8,,,,,,,,1900-01-01 00:18:49.800,1900-01-01 00:16:31.100,1900-01-01 00:14:33.800,1900-01-01 00:15:20.800,,,,,,,
FMK Skövde,2023.0,78.0,Motion -39,541.0,Patric Gustafsson,Huskvarna MK,4.0,05:17.7,19:12.2,16:16.5,14:47.0,15:01.8,,,,,,,,1900-01-01 00:19:12.200,1900-01-01 00:16:16.500,1900-01-01 00:14:47.000,1900-01-01 00:15:01.800,,,,,,,
FMK Skövde,2023.0,79.0,Ungdom E1,145.0,Wilmer Jansson,Tidaholms MK,4.0,05:23.3,17:29.5,17:09.1,14:47.0,15:57.5,,,,,,,,1900-01-01 00:17:29.500,1900-01-01 00:17:09.100,1900-01-01 00:14:47.000,1900-01-01 00:15:57.500,,,,,,,
FMK Skövde,2023.0,80.0,Motion -39,811.0,Björn Axelsson,FMCK Skövde,4.0,05:28.5,19:19.3,17:18.8,14:33.4,14:17.0,,,,,,,,1900-01-01 00:19:19.300,1900-01-01 00:17:18.800,1900-01-01 00:14:33.400,1900-01-01 00:14:17.000,,,,,,,
FMK Skövde,2023.0,81.0,Motion -39,535.0,Johan Andersson,SMK Östgöta,4.0,05:30.8,17:22.7,17:32.7,15:00.8,15:34.3,,,,,,,,1900-01-01 00:17:22.700,1900-01-01 00:17:32.700,1900-01-01 00:15:00.800,1900-01-01 00:15:34.300,,,,,,,
FMK Skövde,2023.0,82.0,Motion 40-49,935.0,Stefan Andersson,Lilla Edets MCK,4.0,05:31.7,18:14.4,16:54.3,14:12.0,16:10.8,,,,,,,,1900-01-01 00:18:14.400,1900-01-01 00:16:54.300,1900-01-01 00:14:12.000,1900-01-01 00:16:10.800,,,,,,,
FMK Skövde,2023.0,83.0,Motion -39,504.0,Christer Strand,Tibro MK,4.0,05:32.5,19:00.4,16:39.5,14:59.1,14:53.4,,,,,,,,1900-01-01 00:19:00.400,1900-01-01 00:16:39.500,1900-01-01 00:14:59.100,1900-01-01 00:14:53.400,,,,,,,
FMK Skövde,2023.0,84.0,Motion -39,799.0,Patrik Förkrök Ledström,SMK Vadstena,4.0,05:41.6,17:40.0,18:41.7,14:39.9,14:39.9,,,,,,,,1900-01-01 00:17:40.000,1900-01-01 00:18:41.700,1900-01-01 00:14:39.900,1900-01-01 00:14:39.900,,,,,,,
FMK Skövde,2023.0,85.0,Motion 40-49,932.0,Niklas Utterberg,Norrahammars MK,4.0,05:48.4,18:17.1,17:08.7,15:06.3,15:16.1,,,,,,,,1900-01-01 00:18:17.100,1900-01-01 00:17:08.700,1900-01-01 00:15:06.300,1900-01-01 00:15:16.100,,,,,,,
FMK Skövde,2023.0,86.0,Motion -39,711.0,Andreas Breitfeld,Kungsbacka MA,4.0,05:53.5,18:11.6,17:21.0,15:29.3,14:51.5,,,,,,,,1900-01-01 00:18:11.600,1900-01-01 00:17:21.000,1900-01-01 00:15:29.300,1900-01-01 00:14:51.500,,,,,,,
FMK Skövde,2023.0,87.0,Ungdom E1,194.0,Edwin Djurstedt,Djursdala SK,4.0,05:58.6,18:35.5,16:36.1,14:17.9,16:29.0,,,,,,,,1900-01-01 00:18:35.500,1900-01-01 00:16:36.100,1900-01-01 00:14:17.900,1900-01-01 00:16:29.000,,,,,,,
FMK Skövde,2023.0,88.0,Motion -39,558.0,Albin Strandhag,FMCK Skövde,4.0,05:59.2,18:30.1,17:02.3,15:28.3,14:58.3,,,,,,,,1900-01-01 00:18:30.100,1900-01-01 00:17:02.300,1900-01-01 00:15:28.300,1900-01-01 00:14:58.300,,,,,,,
FMK Skövde,2023.0,89.0,Motion 40-49,946.0,Andreas Jorlöv,Kullings MS,4.0,06:10.5,18:26.2,16:54.8,15:37.1,15:12.3,,,,,,,,1900-01-01 00:18:26.200,1900-01-01 00:16:54.800,1900-01-01 00:15:37.100,1900-01-01 00:15:12.300,,,,,,,
