Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4,Varv 5
47,Motion 40-49,939,Sam Hämäläinen,Tibro MK,5,03:01.1,15:33.0,7:33.9,15:50.0,7:56.3,16:07.7
48,Motion -39,514,Daniel Hellstadius,Kullings MS,5,03:10.8,15:32.6,7:12.2,15:53.9,8:00.3,16:31.5
49,Motion 40-49,901,Mattias Eriksson,Varbergs MK,5,03:12.3,15:43.6,7:40.1,15:35.8,8:07.2,16:05.4
50,Motion 40-49,986,Rikard Skerget,Stenungsunds MS,5,03:12.5,15:28.3,7:32.5,15:53.1,7:50.7,16:27.6
51,Motion 40-49,924,Sebastian Carlsson,SMK Vadstena,5,03:15.7,15:38.7,8:03.6,15:53.6,8:08.9,15:30.5
52,Motion -39,580,Albin Pettersson,Kristdala Motorsällskap,5,03:27.6,15:45.6,7:26.5,15:58.5,8:00.2,16:16.6
53,Motion 40-49,941,Lars-Olof Lindström,FMCK Borås,5,03:28.3,15:43.7,7:29.0,15:49.6,8:34.9,15:50.9
54,Ungdom E1,101,Sixten Larsson,FMCK Borås,5,03:41.0,14:47.8,7:59.8,15:47.1,8:36.7,16:29.4
55,Motion -39,655,Melvin Nordgren,Örebro EK,5,03:42.7,14:45.0,6:56.3,18:33.1,8:02.9,15:25.2
56,Motion -39,613,Erik Isaksson,Tranås MS,5,03:55.5,14:51.2,7:58.7,16:11.7,8:51.5,16:02.2
57,Motion -39,631,Dennis Olesen,Kullings MS,5,04:01.4,15:45.1,7:41.8,16:08.1,7:54.5,16:31.7
58,Motion 40-49,900,Hans Torsborn,Ulricehamns MK,5,04:05.1,15:36.0,7:12.1,15:21.2,7:42.5,18:13.1
59,Motion -39,554,Markus Stjernström,Vimmerby MS,5,04:11.6,15:19.5,7:26.4,16:48.4,8:15.7,16:21.4
60,Motion 40-49,935,Stefan Andersson,Lilla Edets MCK,5,04:27.6,15:48.8,7:47.1,15:36.7,8:49.3,16:25.4
61,Motion -39,695,Dennis Eriksson,SMK Ronneby,5,04:38.2,16:15.6,8:02.6,16:08.9,8:12.6,15:58.5
62,Motion 40-49,989,Fredrik Sääv,Götene MK,5,04:38.7,16:10.0,7:49.0,16:02.4,8:09.7,16:27.3
63,Motion -39,509,Jonathan Storm,Kortedala MK,5,04:42.7,16:15.8,7:44.6,16:20.8,8:08.9,16:12.4
64,Motion -39,584,Johan Arne Wärnelöv,Tranås MS,5,04:46.4,15:32.6,8:16.2,15:43.7,8:27.7,16:46.0
65,Motion -39,650,Olle Samuelsson,Vimmerby MS,5,05:25.6,15:21.8,8:17.6,15:57.8,8:18.7,17:29.5
66,Motion -39,566,Henrik Madsen,Huskvarna MK,5,05:29.4,15:52.7,7:57.2,16:32.2,8:23.4,16:43.8
67,Motion -39,557,Wiktor Hjalmarsson,Oskarshamns MSK,5,05:30.7,15:59.1,8:20.1,16:24.4,8:33.2,16:13.8
