Carlsborgs MK,2023,Plac,Klass,#,Namn,Klubb,Märke/Anmälare,Varvtider,Varv,Tid
,,49,Motion -39,553,Petter Hedlund,Hallsbergs MK,Husqvarna,20:18.5  19:58.0  20:16.5  20:30.9  ,4,21:04.0
,,50,Motion 40-49,941,Lars-Olof Lindström,FMCK Borås,KTM,19:49.3  20:23.6  20:23.8  20:41.3  ,4,21:18.2
,,51,Motion 40-49,989,Fredrik Sääv,Götene MK,Beta,19:55.0  19:51.3  20:38.8  20:53.4  ,4,21:18.6
,,52,Motion 40-49,911,Ronny Eskengren,Älvbygdens MK,KTM,20:05.3  20:27.1  20:27.0  20:27.9  ,4,21:27.4
,,53,Motion -39,631,Dennis Olesen,Kullings MS,KTM,19:32.1  20:20.0  20:44.4  20:57.6  ,4,21:34.2
,,54,Motion -39,560,John Larsson,Carlsborgs MK,KTM,19:36.5  20:38.3  20:32.9  20:59.4  ,4,21:47.1
,,55,Motion -39,573,Jimmi Jakobsson,MK Team Treske,,20:05.9  20:27.9  20:46.7  20:37.4  ,4,21:58.0
,,56,Motion 40-49,995,Oddbjørn Sandvik,Flittig Enduro,KTM,20:28.7  20:09.1  20:37.5  20:43.0  ,4,21:58.4
,,57,Motion 40-49,928,Johan Debrianté,SMK Ljungby,TM,20:40.9  20:17.4  20:19.1  20:44.5  ,4,22:02.0
,,58,Motion -39,572,Axel Karlsson,Laxå MK,KTM,20:32.5  20:13.0  20:45.0  20:39.6  ,4,22:10.2
,,59,Motion -39,786,Anton Persson,Tibro MK,Sherco,20:33.4  20:56.3  20:30.3  20:33.9  ,4,22:34.0
,,60,Motion -39,562,Johan Hedström,Kinds MK,Husqvarna,19:57.6  21:05.0  20:58.5  20:33.5  ,4,22:34.8
,,61,Motion -39,632,Viktor Hultman,Mariestads EK,GasGas,20:01.5  20:20.6  20:57.2  21:19.7  ,4,22:39.1
,,62,Motion 40-49,996,Filip Starck,Norrahammars MK,Beta,19:43.2  20:17.3  21:03.1  21:37.4  ,4,22:41.1
,,63,Ungdom E1,170,Maximillian Fridérus,Ulricehamns MK,KTM,21:01.0  21:02.5  20:26.3  20:21.1  ,4,22:50.9
,,64,Motion 40-49,986,Rikard Skerget,Stenungsunds MS,KTM,19:56.0  20:37.9  21:04.5  21:35.6  ,4,23:14.1
,,65,Motion -39,566,Henrik Madsen,Huskvarna MK,GasGas,20:05.2  20:18.6  21:26.3  21:26.5  ,4,23:16.7
,,66,Motion -39,523,Rasmus Bengt Olof Malmborg,Björkö EK,Yamaha,20:23.6  20:39.5  20:55.1  21:31.1  ,4,23:29.4
,,67,Motion 40-49,908,Martin Börjesson,FMCK Borås,KTM,19:59.6  20:51.5  20:58.9  21:43.8  ,4,23:34.0
,,68,Motion 40-49,943,Anton Gustavsson,Mariestads EK,KTM,20:28.6  21:02.6  21:09.4  21:24.9  ,4,24:05.6
,,69,Motion 40-49,978,Johan Karlsson,Älvbygdens MK,Husqvarna,20:14.4  20:56.4  21:13.4  21:52.4  ,4,24:16.8
